Name,Discord,Playing Launch,Playing Beta,UBG Discord,AE Discord,UBG Guilded,AE Discord,Guild,Notes,Discord Id
 Sol,Sol#2345,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,364197185006338049
 Sorrow,Sorrow#3566,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,163474088822571008
 DirtyCajunRice,DirtyCajunRice#0001,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,184479429404262410
 Ron MTF Swanson,zoso#6066,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,665336614624690177
 Mofokkah,Moe Falka#1445,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,236973354802872320
 Senek,XpsypieX#0723,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,138469963567464448
 Endry,Endry#7636,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,268081847907516417
 Ender,XIX-Ender-XIX#2979,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,267840004909170693
 Konis,Konis#4574,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,164778362517192704
 Muireann,𝒫𝒽𝓊𝑒𝒾𝓃#1950,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,231424420038574080
 Saitou,Saitou#2635,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,211247510755344384
 Vipere,bFamous#0739,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,118560326131122178
 xJinXx,JinX#2418,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,117772469783232520
 Bowweaver,Bowweaver#5156,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,263820125717659659
 Loqutis,Loqutis#2216,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,339469993026519043
 Motornerve,Motornerve#0824,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,254539065901318144
 Adlahna,Adlahna#0141,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,510901246367105035
 Kinkfu,KonDrunk#1441,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,329552483875815425
 Shatteredidol,Shatteredlol#3840,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,120741589948563456
 Xylona,Xylona#4621,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,171767271490846720
 Vayu,$Vayu#2091,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,106180306981138432
 Duinan,Duinan#0533,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,189464967852982292
 Michael Tyson,LordAce48#6171,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,647583302815055873
 Foo,Kung Foo#0899,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,345674700472451074
 YotharAE.Ethak,Yothar#5803,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,219299322318159872
 Preacher,Preacher#2667,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,120294878763679746
 Bandwurm,Bandwurm#4814,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,256945226374053888
 FalseRU,False#6541,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,300709994632970242
 DrPain,SCE_Christian#5489,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,275050245560205315
 Azrael's Tear,Azraels#3412,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,205187471175057408
 Gh0stRager,GhostRager#7621,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,143019048169373696
 Skinet,Skinet#8301,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,188836142492286977
 Karma,Karma#8606,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,210135319327014913
 Panthu,Panthu#2298,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,189095818836443136
 Winterless,Winterless#9524,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,210581935536209921
 Kole,Ructar#5551,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,178221141817556992
 Backpack,Backpack#3517,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,133681762604810240
 bugmom,bugmom#3302,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,358804151528062977
 Sirka,sirkaibwen#7032,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,347933289958604803
 LordSobert,LordSobert#8060,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,306117193559572481
 SharkSkin13,SharkSkin13#6698,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,146382455681712128
 The Dude,The Dude#0359,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,531336396863045648
 Sheckle,Ticco#2655,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,266295507800817665
 Superbone,Superbone1#5767,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,139881265745625088
 Hadoken,Hadoken#2523,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,420761922468839425
 Burskin,DEFEARR LLTS#5683,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,230477521844568064
 ciccilio,ciccilio#3979,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,295286574437105665
 Pysix,Data#6465,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,345017165046480897
 Shindrek,Shindrek#3556,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,262501008645685248
 LazloeLonghair,LazloeLonghair#0641,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,81719804133650432
 Lutheraan,Lutheraan#9669,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,277809097733046282
 Prayr,քʀǟʏʀ#4440,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,140368777614196736
 Bitcoin,SOJ#7283,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,751528991675908146
 Lamora,mock#8106,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,149945713793433600
 Wicked and Naked,Mir#3420,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,464672992119488532
[Chaos] Legioner,Legioner#5598,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,201570819820879873
 Marcos,Marcos#3833,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,460956171101274112
 DustyLobster,alig80r#8415,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,222164117178417152
 zyrie,nuke#5497,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,138060608355565568
 Unculturedboy,unculturedboy#4130,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,387038592566034449
 crizroblez,crizroblez#4958,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,272441429966716929
 Ouinpis,Ouinpis#9501,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,153990191319744513
 ChaoticMind,ChaoticMind#8239,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,134442794369548288
 Moonlesnyte,Moonlessnyte#3748,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,535671695818883079
 SoupSandwich,SoupSandwich#3533,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,303029036899106817
 Talpa Iute, Talpa Iute#6009,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,562037024127713301
